T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
10737, 211, 17, 73, 1750, 55790, -21210
10757, 252, 21, 83, -3150, 66220, -21210
10777, 435, 3, 186, -7840, 60690, -8540
10797, 508, -1, 236, -12810, 58870, -5180
10817, 549, 5, 306, -14070, 65310, -7700
10837, 620, -23, 375, -22050, 70630, -2450
10857, 679, -23, 539, -34020, 72450, 5950
10877, 771, -23, 603, -42000, 72240, 9240
10897, 725, 19, 663, -49350, 79520, 9450
10917, 715, -16, 779, -49350, 95410, 6370
10937, 948, -122, 821, -48090, 94500, 15540
10957, 1142, -243, 863, -56210, 78190, 33180
10977, 1151, -273, 909, -61390, 71890, 40320
10997, 990, -252, 1003, -65870, 81620, 29610
11017, 1130, -328, 1109, -66570, 85260, 22470
11037, 1272, -366, 1217, -71120, 72310, 32970
11057, 1263, -463, 1243, -68390, 68950, 38290
11077, 1438, -430, 1254, -62230, 67550, 35770
11097, 1561, -439, 1276, -68600, 52640, 41440
11117, 1504, -418, 1340, -77770, 48160, 41790
11137, 1449, -459, 1372, -75670, 50330, 25550
11157, 1504, -444, 1374, -73570, 28350, 12390
11177, 1523, -341, 1371, -73640, -9730, -10430
11197, 1321, -246, 1367, -66570, -14070, -39830
11217, 1187, -168, 1411, -58380, -35070, -61040
11237, 1155, -86, 1404, -57400, -69790, -67970
11257, 1188, -69, 1226, -53970, -93520, -72170
11277, 1232, -26, 1078, -42210, -85960, -84770
11297, 1280, 12, 946, -25270, -81690, -98770
11317, 1153, 108, 891, -18620, -84560, -113400
11337, 1010, 214, 861, -24780, -97230, -125160
11357, 846, 374, 867, -26320, -114380, -131740
11377, 833, 436, 780, -27370, -127610, -126210
11397, 796, 490, 686, -25410, -136920, -115780
11417, 742, 507, 557, -9170, -140350, -111510
11437, 683, 485, 428, -5950, -146090, -103460
11457, 557, 530, 435, -12740, -171290, -97790
11477, 538, 600, 435, -13300, -184520, -97720
11497, 491, 654, 387, -9100, -170800, -97650
11517, 447, 677, 321, 9520, -126490, -102270
11537, 503, 651, 221, 37800, -71680, -106680
11557, 373, 652, 150, 56560, -44450, -102760
11577, 187, 694, 113, 62930, -36540, -96950
11597, 233, 677, 174, 49210, -52080, -81130
11617, 223, 652, 267, 15470, -114310, -35350
11637, 201, 620, 235, 39620, -88690, -32480
11657, 327, 557, 154, 52500, -49070, -29750
11677, 367, 512, 119, 54040, -24640, -26390
11697, 370, 503, 115, 53620, -33040, -21210
11717, 320, 539, 156, 50330, -44380, -17990
11737, 321, 513, 75, 56980, -38220, -18480
11757, 303, 479, 130, 72870, -14770, -14490
11777, 400, 364, 120, 80500, 840, -6930
11797, 443, 292, 69, 81410, 3850, 420
11817, 355, 285, 84, 82390, -910, 2450
11837, 228, 265, -2, 77910, -6160, 3080
11857, 115, 196, -255, 83020, 10360, 4130
