,AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
291,520,-1251,-391,33950,-48440,180740
292,471,-1171,-322,61390,-36330,190610
293,435,-1114,-278,81550,-25550,195720
294,420,-1074,-277,73500,-28560,188440
295,416,-1024,-278,50680,-35490,168840
296,405,-980,-261,40530,-31010,148610
297,385,-928,-222,47040,-18760,139510
298,362,-903,-198,54880,-7210,137060
299,344,-892,-206,47460,-6510,133350
300,335,-862,-210,28210,-9730,118720
301,324,-810,-194,15610,2030,87430
302,316,-766,-163,14980,26600,51170
303,303,-738,-132,18270,48930,24920
304,292,-726,-132,12740,57050,10990
305,290,-727,-148,-5460,50750,2310
306,290,-742,-153,-23870,45360,-11550
307,302,-778,-149,-32130,52010,-34580
308,331,-838,-164,-35700,63350,-62160
309,382,-940,-210,-66220,59430,-105840
310,437,-1077,-306,-85470,45710,-112420
311,474,-1219,-386,-78960,48230,-115430
312,481,-1290,-390,-45150,76790,-132020
313,468,-1263,-348,-16450,104860,-162330
314,449,-1168,-311,-9450,110530,-190120
315,439,-1111,-300,-10220,99050,-202300
316,433,-1106,-283,-3640,84560,-199010
317,446,-1155,-286,2240,69020,-193270
318,485,-1247,-348,-10710,42910,-192360
319,509,-1280,-406,-24920,20650,-196000
320,484,-1206,-389,-12530,20440,-199780
321,424,-1070,-277,30520,42280,-200130
322,381,-942,-195,60620,52430,-196840
323,366,-869,-180,48650,29610,-189630
324,368,-835,-190,20860,-3290,-177870
325,380,-833,-212,4270,-26180,-158900
326,379,-834,-204,8540,-33040,-131180
327,362,-819,-185,23660,-29820,-100590
328,346,-786,-175,29750,-29750,-75320
329,335,-744,-162,26670,-30870,-60130
330,330,-700,-146,23940,-26530,-52500
331,332,-663,-128,24220,-19810,-41580
332,336,-658,-117,25690,-18340,-15890
333,345,-698,-129,22470,-28420,27510
334,357,-780,-170,13090,-49490,81970
335,379,-903,-229,3150,-70000,131320
336,415,-1012,-278,-630,-75460,157920
337,456,-1087,-308,2170,-62650,157780
338,480,-1105,-319,8610,-42070,146020
339,472,-1074,-309,17570,-27860,145390
340,454,-1070,-282,31710,-22960,164640
341,447,-1118,-278,49140,-22540,194110
342,468,-1190,-321,51100,-29960,214760
343,509,-1264,-395,9520,-55790,204610
344,529,-1283,-413,16870,-45990,194670
345,506,-1246,-363,47320,-24150,194740
346,464,-1176,-318,63140,-16100,198870
347,429,-1096,-289,55160,-19600,191660
348,410,-1019,-270,43960,-18620,174090
349,395,-969,-240,40950,-10220,156590
350,385,-940,-219,38570,-3850,145320
351,376,-944,-224,27720,-8890,141540
352,375,-956,-246,12670,-15400,133560
353,366,-929,-253,4340,-8470,111160
354,342,-862,-221,11340,16240,79520
355,315,-779,-168,25550,46970,48510
356,285,-708,-123,30380,66080,25340
357,267,-674,-106,19670,67200,10080
358,263,-667,-105,-70,59150,-4620
359,275,-694,-121,-20580,51100,-23380
360,301,-763,-147,-35980,46970,-44170
361,340,-852,-182,-47530,46340,-65730
362,392,-973,-244,-59570,45640,-86100
363,445,-1124,-321,-67760,43330,-98700
364,480,-1243,-388,-62790,47110,-107170
365,467,-1249,-378,-41790,64890,-123200
366,432,-1162,-314,-10010,91490,-148120
