,AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
137,-795,-849,665,120890,-61460,-60970
138,-956,-447,865,119280,-91980,-8680
139,-1051,-155,1128,99680,-70420,66780
140,-953,123,1410,56420,-60550,150500
141,-523,616,1661,27650,4060,283290
142,160,1129,1414,35420,4200,301140
143,652,1522,1085,49210,13930,273910
144,617,1646,909,63280,56210,228550
145,443,1563,670,65800,49350,155260
146,347,1429,420,48860,-7630,78330
147,402,1138,323,13930,-48860,17920
148,799,741,381,-24360,-16520,-5390
149,1353,236,650,-55790,57540,-34090
150,1652,-226,767,-77700,95550,-99750
151,1429,-711,784,-78400,68390,-157780
152,1133,-1138,894,-61740,19740,-183750
153,690,-1467,1041,-49560,-700,-220710
154,400,-1581,1051,-35840,16310,-229670
155,428,-1613,1064,-40110,47250,-232400
156,441,-1667,1232,-30380,34230,-239190
157,-3,-1638,1396,-19110,19320,-236180
158,-283,-1371,1355,10710,5460,-177590
159,-443,-1135,1132,26530,5670,-118790
160,-768,-897,983,43330,-20370,-88200
161,-1001,-715,867,41160,-35140,-57610
162,-1365,-552,968,1190,-42700,-10710
163,-1559,-246,1110,-13300,-47390,70560
164,-1352,115,1238,24290,-64680,185360
165,-876,497,1205,20580,-36820,256830
166,-417,1008,962,-3360,-19530,290570
167,-138,1123,760,14140,-42700,306600
168,256,1099,703,12670,-31990,288890
169,311,883,939,-22190,4690,232050
170,229,651,1112,-48160,46410,160160
171,387,518,1058,-33530,45220,85190
172,801,500,839,-8610,16030,28630
173,1477,352,604,1190,-11690,2800
174,1995,-142,1008,-24220,-4620,-25480
175,1938,-824,1444,-86590,103250,-103110
176,1490,-1082,1221,-46550,69230,-185220
177,885,-1139,749,-560,28560,-216510
178,732,-1269,330,10080,12810,-244720
179,586,-1476,599,1890,12040,-271110
180,253,-1631,971,-10710,30310,-241710
181,21,-1585,1055,16520,79940,-193550
182,-196,-1374,806,60830,74130,-185850
183,-429,-1123,655,91560,24430,-177380
184,-668,-1080,832,85610,6370,-141470
185,-918,-1021,964,65310,23590,-75740
186,-932,-913,947,52640,16520,-11060
187,-946,-778,942,42980,-4620,45640
188,-814,-623,974,30660,-17290,109060
189,-736,-383,1083,15330,-32970,167720
190,-857,-39,1225,11480,-50260,214760
191,-846,412,1338,11340,-65870,247450
192,-542,914,1241,12460,-70700,275520
193,9,1106,1190,6650,-55230,300440
194,297,1079,1359,-14630,2940,298130
195,447,1077,1175,-22260,52850,240030
196,488,1160,859,-980,26110,139580
197,488,1008,735,17080,-7350,51380
198,810,779,708,630,-12040,14140
199,1205,455,677,-25620,490,-2450
200,1573,-36,931,-55160,25830,-27860
201,1544,-368,892,-63980,56420,-75460
202,1623,-527,520,-43260,62510,-132790
203,1204,-905,591,-19670,35840,-201250
204,713,-1393,871,-27440,23520,-250600
205,398,-1637,946,-39690,33810,-263690
206,131,-1564,845,-36820,31920,-263760
207,-34,-1432,644,-14560,30240,-230370
208,-284,-1474,631,4760,58450,-162820
209,-569,-1556,854,19320,37310,-103880
210,-748,-1514,1061,13720,32340,-47110
211,-739,-1332,970,35420,-7280,1120
212,-726,-1068,904,58170,-35910,49490
213,-726,-825,1098,53620,-57330,108150
214,-571,-610,1286,30730,-65660,163240
215,-528,-360,1533,10220,-73780,203770
216,-584,-17,1669,1680,-67270,237440
217,-426,360,1687,4760,-68880,260610
218,-250,741,1658,15330,-66570,268590
219,140,1116,1259,38080,-63070,257670
220,393,1268,1238,40530,-46900,232680
221,1083,1418,1013,21140,-9030,190960
222,1867,1651,472,-1750,-35140,126350
223,1997,1648,31,-21420,-57120,57680
224,1997,998,46,-73290,-18760,-44520
225,1853,131,474,-155470,39970,-174720
226,1255,-468,251,-166250,85190,-263340
227,1069,-959,144,-144480,63070,-327740
228,1068,-1924,537,-149030,50190,-372330
229,721,-1998,1287,-177940,92120,-380380
